cap,via
20159,Arnaldo da Brescia (Via)
20154,Arnolfo Di Cambio (Via)
20133,Arno' Riccardo (Via)
20149,Arona (Via)
20148,Arosio (Via)
20129,Arpesani Paolo e Luigia (Via)
20153,Arpino (Via)
20131,Arqua' (Via)
20134,Arrighi Cletto (Via) 
20158,Arrivabene Giovanni (Via)
20157,Arsia (Via)
20128,Arsiero (Via)
20161,Artaria (Via degli)
20155,Artieri (Via degli)
20138,Artigianato (Piazza)
20159,Artigianelli (Via degli)
20146,Arzaga (Via)
20134,Ascoli Alberto (Via)
20129,Ascoli Graziadio Isaia (Piazza)
20133,Aselli Gaspare (Via)
20128,Asiago (Via)
20159,Asmara (Via)
20123,Asole (Via delle)
20129,Aspari Domenico (Piazza)
20131,Aspromonte (Piazza)
20132,Assab (Via)
20124,Assereto (Via degli)
20152,Assiano (Via)
20161,Assietta (Via)
20141,Assunta (Piazza dell')
20141,Assunta (Via dell')
20161,Astesani Alessandro (Via)
20149,Asti (Via)
20128,Astico (Via)
20131,Astolfo (Via)
20147,Astri (Via degli)
20141,Astura (Via privata)
20162,Asturie (Via)
20132,Atene (Via)
20152,Aterno (Via)
20138,Attilio Regolo (Via)
20122,Augusto (Largo)
20127,Aurelio Marco (Via)
20122,Aurispa Giovanni (Via)
20153,Auronzo (Via)
20123,Ausonio (Via)
20143,Autari (Via)
20142,Avancini Avancinio (Via) 
20139,Avezzana Giuseppe (Via)
20138,Aviazione (Viale dell')
20143,Avogadro Gerolamo (Via)
20148,Axum (Piazza)
20147,Azalee (Via delle)
20123,Azario Pietro (Via)
20127,Baccarini Alfredo (Via)
20162,Baccelli Guido (Via)
20139,Bacchiglione (Viale)
20136,Bach Giovanni Sebastiano (Viale)
20129,Bacone Francesco (Piazzale)
20158,Bacula Adriano (Cavalcavia)
20152,Bagarotti Maffeo (Via)
20121,Bagatti Valsecchi (Sito dei)
20123,Bagnera (Via)
20121,Bagutta (Via)
20121,Baguttino (Via)
20154,Baiamonti Antonio (Piazzale)
20136,Bainsizza (Via)
20136,Balbo Cesare (Via)
20158,Baldinucci Filippo (Via)
20129,Baldissera Antonio (Via)
20156,Baldo degli Ubaldi (Via)
20139,Balduccio da Pisa (Via)
20154,Balestrieri Domenico (Via)
20136,Balilla (Via)
20143,Balsamo Crivelli Riccardo (Via)
20128,Balzac Onorato (Via)
20133,Balzaretti Giuseppe (Via)
20131,Bambaia (Via)
20123,Bandello Matteo (Via)
20146,Bande Nere Giovanni Dalle (Piazzale)
20129,Bandiera Attilio ed Emilio Fratelli (Piazza)
20122,Banfi Antonio (Via)
20139,Barabino Nicolo' (Via)
20123,Baracca Francesco (Piazzale)
20123,Baracchini Flavio (Via)
20136,Baravalle Carlo (Via)
20129,Barbarigo (Via dei)
20121,Barbaro di San Giorgio Ramiro (Viale)
20144,Barbavara (Via)
20153,Barbiera Raffaello (Via)
20136,Barbieri Francesco (Via)
20146,Barce (Via)
20131,Bardelli Giuseppe (Via)
20142,Bardolino (Via)
20123,Barellai Giuseppe (Via)
20148,Barelli Armida (Via privata)
20122,Baretti Giuseppe (Via)
20143,Bari (Via)
20138,Barigozzi Ermanno (Via) 
20145,Barinetti Giovanni Battista (Via)
20141,Barletta (Via)
20142,Barona (Via)
20142,Baroni Costantino (Via)
20122,Barozzi Michele (Via)
20157,Barrella Giovanni (Via)
20141,Barrili Anton Giulio (Via)
20143,Barsanti Eugenio (Via)
20155,Bartolini Lorenzo (Via)
20146,Bartolomeo D'Alviano (Via)
20129,Bartolomeo Giuliano (Via)
20137,Bartolozzi Francesco (Via)
20156,Barzaghi Francesco (Via)
20146,Barzilai Salvatore (Via)
20125,Barzini Luigi (Via)
20139,Barzoni Vittorio (Via)
20157,Baschenis Evaristo (Via)
20127,Bassano Del Grappa (Via)
20121,Bassano Porrone (Via)
20148,Bassi Martino (Via)
20133,Bassini Edoardo (Via)
20159,Bassi Paolo (Via)
20159,Bassi Ugo (Via)
20142,Basso Lelio (Via)
20139,Bastia (Via)
20127,Battaglia Natale (Via)
20122,Battisti Cesare (Via)
20122,Battisti Cesare (Via privata)
20133,Battistotti Sassi Luisa (Via)
20158,Bausan Giovanni (Piazza)
20161,Baveno (Via)
20162,Baver Riccardo (Via)
20128,Bazzaro Leonardo ed Ernesto Fratelli (Via)
20141,Bazzi Carlo (Via)
20144,Bazzi Giovanni Antonio (Piazza)
20131,Bazzini Antonio (Via)
20123,Bazzoni Gian Battista (Via)
20133,Beato Angelico (Via) 
20122,Beatrice D'Este (Viale)
20121,Beauharnais Eugenio (Viale)
20122,Beccaria Cesare (Piazza)
20122,Beccaria Cesare (Via)
20126,Beccaro Padre Gerardo (Via)
20126,Bechi Giulio (Via)
20136,Beethoven Ludovico (Largo)
20142,Beldiletto (Via)
20143,Belfanti Serafino (Piazza)
20145,Belfiore (Via)
20121,Belgioioso (Piazza)
20157,Belgioioso Cristina (Via)
20125,Belgirate (Via)
20159,Belinzaghi Giulio (Via)
20145,Belisario (Viale)
20158,Bellagio (Via)
20124,Bellani Ettore (Via)
20153,Bellaria Cascina (Via)
20141,Bellarmino Roberto (Via)
20128,Bellazzi Federico (Via)
20161,Bellerio Carlo (Via)
20136,Bellezza Giovanni (Via)
20127,Belli Gioacchino (Via)
20134,Bellincione Bernardino (Via)
20146,Bellini Gentile (Via)
20122,Bellini Vincenzo (Via)
20124,Bellintani Fra Paolo (Largo)
20155,Bellinzona (Via)
20162,Belloni Angelo (Via)
20138,Bellosio Eugenio (Via)
20129,Bellotti Felice (Via)
20162,Belloveso (Piazza)
20132,Belluno (Via)
20121,Belotti Bortolo (Largo)
20121,Beltrami Luca (Via)
20161,Bembo Pietro (Via)
20139,Benaco (Via)
20132,Benadir (Via)
20146,Benedettini (Via dei)
20124,Benedetto Marcello (Via)
20159,Benefattori dell'Ospedale (Via) 
20162,Benefattori dell'Ospedale (Via)
20151,Benelli Sem (Via)
20142,Benevento (Via)
20132,Bengasi (Via)
20152,Bensi Giovanni (Via)
20152,Bentivoglio Paolo (Via)
20151,Beolchi Fratelli (Via)
20162,Berbera (Viale)
20121,Berchet Giovanni (Via)
20149,Berengario (Viale) 
20121,Beretta Antonio (Via)
20122,Bergamini (Via)
20135,Bergamo (Via)
20144,Bergognone (Via)
20127,Bergonzoli Giulio (Via)
20138,Berlese Antonio (Via)
20147,Berna (Via)
20161,Bernardino da Novate (Via)
20161,Bernardo da Canal (Via)
20158,Bernina (Via)
20133,Bernini Gian Lorenzo (Piazza)
20152,Bernstein Navarra Marta (Via)
20127,Beroldo (Via)
20132,Berra Domenico (Via)
20122,Bersaglieri (Largo dei)
20125,Bersezio Vittorio (Via)
20136,Bertacchi Giovanni (Via)
20154,Bertani Agostino (Via)
