cap,via
20157,Castellammare (Via)
20156,Castelli Giorgio (Via)
20125,Castellini Gualtiero (Via)
20158,Castellini Nicostrato (Via)
20155,Castellino da Castello (Via)
20156,Castelli Pompeo (Piazza)
20121,Castello (Piazza)
20129,Castel Morrone (Via)
20154,Castelvetro Lodovico (Via)
20136,Castiglioni Luigi (Via)
20152,Castrovillari (Via) 
20131,Catalani Alfredo (Via)
20133,Catania (Via privata)
20121,Catena Adalberto (Via)
20146,Caterina da Forli' (Viale)
20158,Catone (Via)
20121,Cattaneo Carlo (Via)
20162,Cattaro (Via)
20151,Catullo (Via)
20146,Cavalcabo' Pietro (Via)
20127,Cavalcanti Guido (Via)
20147,Cavaleri Ludovico (Via)
20153,Cavaliere Alberto (Via privata)
20121,Cavalieri Bonaventura (Via)
20121,Cavalieri Del Santo Sepolcro (Via dei)
20146,Cavalieri di Malta (Largo)
20152,Cavalieri di Vittorio Veneto (Largo)
20161,Cavalletto Alberto (Via)
20122,Cavallotti Felice (Via)
20151,Cavazzi Della Somaglia Giangiacomo (Piazzetta)
20149,Cavenaghi Luigi (Via)
20127,Cavezzali Francesco (Via)
20139,Caviglia Enrico (Via)
20121,Cavour (Piazza)
20134,Cavriana (Via)
20132,Cazzaniga Carlo (Via)
20146,Cecchi Antonio (Via)
20162,Cecchi Emilio (Via)
20151,Cechov Antonio (Via)
20131,Cecilio Stazio (Via)
20156,Cefalonia (Via)
20151,Cefalu' (Via)
20132,Celentano Bernardo (Via)
20123,Celestino IV (Via)
20148,Celio (Via)
20129,Cellini Benvenuto (Via)
20133,Celoria Giovanni (Via)
20135,Cena Giovanni (Via)
20154,Cenisio (Via)
20147,Cenni Quinto (Via)
20151,Centauro (Via del)
20123,Centrale (Passaggio)
20129,Ceradini Giulio (Via)
20144,Cerano (Via)
20154,Ceresio (Via)
20153,Ceriani Antonio M. (Via)
20157,Cerkovo (Via)
20121,Cernaia (Via)
20158,Cernobbio (Via)
20129,Cernuschi Enrico (Via)
20155,Ceroni Riccardo (Via)
20149,Certosa (Viale)
20155,Certosa (Viale)
20151,Certosa (Viale)
20156,Certosa (Viale)
20122,Cerva (Via)
20154,Cervantes Michele (Viale)
20161,Cervi Annunzio (Via)
20127,Cervi Fratelli (Largo)
20137,Cervignano (Via)
20128,Cesalpino Andrea (Via)
20132,Cesana Bruno (Via)
20123,Cesare da Sesto (Via)
20154,Cesariano Cesare (Via)
20162,Cesari Antonio (Via)
20127,Cesarotti Melchiorre (Via)
20155,Cesena (Via)
20148,Cesenatico (Via)
20157,Ceva Umberto (Via)
20158,Cevedale (Via)
20143,Cezanne Paolo (Via)
20131,Chavez Giorgio (Via)
20162,Cherasco (Via)
20157,Cheren (Via)
20162,Cherso (Via)
20145,Cherubini Francesco (Via)
20151,Chiabrera Gabriello (Via)
20161,Chianciano (Via)
20141,Chiaradia Enrico (Piazza)
20148,Chiaramonti (Via dei)
20122,Chiaravalle (Via)
20151,Chiarelli Luigi (Via)
20155,Chiari (Via)
20157,Chiasserini Dante (Via)
20155,Chiasso (Via)
20143,Chidi Cesare (Via)
20149,Chiesa Damiano (Piazzale)
20122,Chiesa Eugenio (Via)
20142,Chiesa Rossa (Via della)
20126,Chiese (Via) 
20154,Chieti (Via)
20147,Chinotto Edoardo (Via)
20127,Chioggia (Via)
20122,Chiossetto (Via)
20153,Chiostergi Giuseppe (Via)
20121,Chiostri (Via dei)
20123,Chiusa (Via della)
20154,Chizzolini Gerolamo (Via)
20141,Chopin Federico (Via)
20158,Ciaia Ignazio (Via)
20161,Cialdini Enrico (Via)
20143,Ciani Fratelli (Via)
20148,Ciardi Guglielmo (Via)
20127,Cibo (Via dei)
20127,Cibrario Luigi (Via)
20123,Cicco Simonetta (Via)
20161,Ciccotti Ettore (Via)
20137,Ciceri Visconti Laura (Via)
20162,Cicerone Marco Tullio (Via)
20147,Ciclamini (Via dei)
20161,Cicogna Mozzoni Carlo (Via)
20129,Cicognara Leopoldo (Via)
20147,Ciconi Teobaldo (Via)
20151,Cignoli (Via dei)
20151,Cilea Francesco (Via)
20158,Cilento (Via)
20148,Cimabue Giovanni (Via) 
20151,Cimabue Giovanni (Via)
20134,Cima Otto e Camillo (Via)
20144,Cimarosa Domenico (Via)
20156,Cimitero Maggiore (Piazzale)
20151,Cimitero Maggiore (Piazzale)
20154,Cimitero Monumentale (Piazzale)
20124,Cincinnato (Piazza)
20162,Cino da Pistoia (Via)
20139,Cinquecento (Via dei)
20129,Cinque Giornate (Piazza)
20157,Cinque Maggio (Via)
20121,Ciovassino (Via)
20121,Ciovasso (Via)
20121,Ciovasso (Vicolo)
20125,Cipriani Oreste (Via)
20137,Cipro (Via)
20123,Circo (Via)
20135,Cirene (Viale)
20128,Cirenei Luigi (Via)
20162,Cirie' (Via)
20154,Cirillo Domenico (Via)
20133,Cironi Pietro (Via) 
20128,Cislaghi Luigi (Via)
20149,Citta' Del Messico (Via)
20157,Cittadini Pier Francesco (Via)
20151,Civenna (Via)
20159,Civerchio Vincenzo (Via)
20152,Cividale Del Friuli (Via)
20148,Civitali Matteo (Via)
20132,Civitavecchia (Via)
20147,Clasio (Via)
20158,Claudia (Via)
20149,Claudiano (Via)
20124,Claudio Appio (Piazza)
20146,Clefi (Via)
20124,Clementi Muzio (Via)
20133,Clericetti Celeste (Via)
20121,Clerici (Via)
20131,Clitumno (Via)
20135,Clusone (Via)
20141,Coari Adelaide (Via)
20144,Codara Giuseppe (Via)
20156,Codigoro (Via)
20139,Codogno (Via)
20157,Cogne (Via)
20144,Cola Di Rienzo (Via)
20159,Cola Montano (Via)
20125,Colautti Arturo (Via)
20136,Col Bricon (Via)
20136,Col del Rosso (Via)
20136,Col di Lana (Viale)
20158,Colico (Via)
20153,Colla Pietro (Via)
20148,Collecchio (Via)
20158,Collegno Giacinto (Via)
20149,Colleoni Bartolomeo (Via)
20135,Colletta Pietro (Via) 
20137,Colletta Pietro (Via)
20123,Collodi (Via)
20136,Col Moschin (Via)
20161,Colombi Camillo (Via)
20152,Colombi Piero (Via) 
20136,Colombo Cesare Augusto (Via)
20144,Colombo Cristoforo (Corso)
20133,Colombo Giuseppe (Via)
20149,Colonna Marco Antonio (Via)
20149,Colonna Vittoria (Via)
20122,Colonnetta (Via)
20128,Columella Lucio Giunio (Via)
20139,Comacchio (Via)
20125,Comandini Alfredo (Via)
20161,Comasina (Via)
20161,Comboni Daniele (Via)
20135,Comelico (Via)
20145,Comerio Luca (Via)
20141,Comisso Giovanni (Via)
20154,Comizi Di Lione (Viale)
20122,Commenda (Via della)
20154,Como (Corso)
20131,Compagni Dino (Via)
20129,Compagnoni Giuseppe (Via)
20125,Comune Antico (Via)
20123,Conca Del Naviglio (Via)
20136,Conchetta (Via)
20123,Conciliazione (Piazza della)
20157,Concilio Vaticano II (Via)
20149,Conconi Luigi (Via)
20129,Concordia (Corso)
20139,Condino (Via)
20131,Conegliano (Via)
20124,Confalonieri Federico (Via)
20121,Congresso Cispadano (Viale)
20144,Coni Zugna (Viale)
20121,Conneau Enrico (Viale)
20122,Conservatorio (Via)
20134,Console Flaminio (Via)
20156,Console Marcello (Via)
20151,Consolini Adolfo (Via)
20153,Constant Benjamin (Via)
20133,Contarini (Via dei)
20134,Conte Rosso (Via)
20158,Conte Verde (Via)
20125,Conti Carlo (Via)
20125,Copernico (Via)
20148,Coppi Fausto (Via)
20142,Coppin Guido (Via)
20132,Corato (Via)
20128,Corazzini Sergio (Via)
20157,Corbetta (Via)
20123,Cordusio (Piazza)
20123,Cordusio (Via)
20134,Corelli Arcangelo (Via)
20133,Corfu' (Via)
20135,Corio Bernardino (Via)
20154,Coriolano (Piazza)
20149,Corleone (Via)
20161,Cormano (Via)
20151,Cormons (Via)
20123,Cornaggia Carlo Ottavio (Via)
20124,Cornalia Emilio (Via)
20146,Cornelio (Via) 
20148,Corno Di Cavento (Via)
20146,Coronelli Vincenzo Maria (Via)
20128,Corrado Alvaro (Via)
20141,Corrado II Il Salico (Via)
20149,Correggio (Via)
20123,Correnti Cesare (Via)
20122,Corridoni Filippo (Via)
20122,Corsia Dei Servi (Largo)
20133,Corsica (Viale) 
20137,Corsica (Viale)
20144,Corsico (Via)
20122,Corso (Galleria del)
20133,Corti Alfonso (Via)
20125,Corti Costantino (Via)
20139,Cortina d'Ampezzo (Via)
20139,Corvetto Luigi Emanuele (Piazzale)
20137,Cosenza (Via)
20158,Cosenz Enrico (Via)
20122,Cosimo Del Fante (Via)
20138,Cossa Alfonso (Via)
20122,Cossa Pietro (Via)
20136,Cosseria (Via)
20131,Costa Andrea (Via)
20162,Costalovara (Via)
20128,Costantino (Piazza)
20146,Costanza (Via)
20133,Cova Giovanni (Via)
20125,Cozzi Roberto (Via)
20135,Crema (Via)
20145,Cremona Tranquillo (Via) 
20148,Cremosano Marco (Via)
20134,Crescenzago (Via) 
20132,Crescenzago (Via)
20133,Crescenzio (Via)
20159,Crespi Benigno (Via)
20123,Crespi Daniele (Via)
20134,Crespi Gaetano (Via)
20127,Crespi Pietro (Via)
20152,Creta (Via)
20156,Cretese Demetrio (Via)
20147,Crimea (Via)
20121,Crispi Francesco (Viale)
20162,Cristiani Beltrame (Via)
20144,Cristoforo Colombo (Corso)
20122,Crivelli Carlo (Via)
20149,Crivellone (Piazzale)
20151,Croce Benedetto (Via)
20122,Crocefisso (Via)
20121,Croce Rossa (Via)
20122,Crocetta (Largo della)
20121,Crociate (Piazza delle)
20143,Crollalanza (Via dei)
20135,Cuccagna (Via)
20155,Cucchiari Domenico (Via)
20133,Cucchi Francesco (Via)
20159,Cufra (Via)
20159,Cuma (Via)
20149,Cuneo (Via)
20137,Cuoco Vincenzo (Piazzale)
20141,Cuore Immacolato Di Maria (Via)
20143,Curiel Eugenio (Via)
20121,Curie Pietro e Maria (Viale)
20146,Curio Dentato (Via)
20122,Curtatone (Via)
20136,Curti Antonio (Via)
20159,Curzola (Via)
20153,Cusago (Via)
20121,Cusani (Via)
20142,Cusi Annibale (Via)
20159,Cusio (Via)
20136,Custodi Pietro (Via)
20155,Cuzzi Giuseppe (Via)
20127,Cybo (Via dei)
20152,D'Acquisto Salvo (Via)
20143,D'Adda Carlo (Via)
20148,Daddi Bernardo (Via)
20162,Da Filicaia Vincenzo (Via) 
20152,Dal Fabbro Cesare (Via)
20133,Dall'Ongaro Francesco (Via)
20157,Dalmagia' (Via)
20138,Dalmazia (Via)
20152,Dalmine (Via)
20132,Dal Pozzo Toscanelli Paolo (Via)
20156,Dal Re Marcantonio (Via)
20159,Dal Verme Jacopo (Via)
20123,D'Ancona Paolo (Largo)
20122,Dandolo Enrico (Via)
20123,D'Annunzio Gabriele (Viale)
20121,Dante (Via)
20123,Dante (Via)
20161,Danubio (Via del)
20142,Danusso Arturo (Via)
20124,Da Palestrina Pier Luigi (Via)
20155,Da Panicale Masolino (Via)
20127,D'Apulia Nicola (Via)
20132,D'Aragona Ludovico (Via)
20134,Dardanoni Giulio (Via)
20143,Darwin Carlo Roberto (Via)
20161,Da Seregno Vincenzo (Via)
20129,Dateo (Piazzale)
20158,Davanzati Bernardo (Via)
20122,Daverio Francesco (Via)
20154,D'Azeglio Massimo (Via)
20146,De Agostini Giovanni (Piazzale)
20129,De Albertis Sebastiano (Via)
20144,De Alessandri Giovanni (Via)
20123,De Amicis Edmondo (Via)
20137,De Andreis Luigi (Via)
20146,De Angeli Ernesto (Piazza)
20162,De Angelis Michele (Via)
20124,De Benedetti Aldo (Largo)
20129,De Bernardi Lamberto (Via)
20128,De Bosis Adolfo (Via)
20147,Debussy Claudio (Via)
20156,De'buttinoni Bicetti G.M. (Via)
20162,De Calboli Fulcieri Paulucci (Via)
20158,De Capitani Rosa Massara (Via)
20124,De Castillia Gaetano (Via)
20124,De Castillia Gaetano (Vicolo) 
20144,De Castro Giovanni (Via)
20137,Decembrio Pier Candido (Via)
20138,Decemviri (Via)
20151,De Chirico Giorgio (Via)
20159,De Conti Bernardino (Via)
20138,Decorati al Valor Civile (Via)
20122,De Cristoforis (Galleria)
20124,De Cristoforis Carlo (Via)
20133,Deffenu Attilio (Via)
20129,De Filippi Filippo (Via)
20142,De Finetti Giuseppe (Via)
20151,De Gasperi Alcide (Viale)
20162,De Gasperis Angelo (Via)
20123,Degli Osii (Passaggio)
20125,De Grada Raffaele (Via privata)
20123,De Grassi Giovannino (Via)
20158,Del Bono Angelo (Via)
20132,Del Corno Don Giuseppe (Via)
20122,Del Duca Cino (Via)
20127,Deledda Grazia (Via)
20151,De Lemene Francesco (Via)
20122,Del Fante Cosimo (Via)
20155,Delfico Melchiorre (Via)
20124,Del Grillo Borromeo Clelia (Via)
20151,Della Casa Giovanni (Via)
20151,Della Mirandola Pico (Via)
20162,Della Pila Lanfranco (Via)
20162,Della Porta Giacomo (Via)
20149,Della Quercia Jacopo (Via)
20145,Della Robbia Luca (Via)
20123,Della Rocca Morozzo (Via)
20152,Della Rovere (Via)
20127,Della Torre (Via)
20132,Della Valle Pietro (Via)
20149,Delleani Lorenzo (Via)
20161,Dell'Orto Uberto (Via)
20129,Dell'uomo Serafino (Via)
20146,Del Maino Giasone (Via)
20146,Del Maino Luchino (Via)
20149,Del Piombo Sebastiano (Via)
20129,Del Sarto Andrea (Via)
20129,De Luigi Attilio (Via)
20156,Del Vaga Perin (Via)
20125,De Marchi Emilio (Via)
20128,De Marchi Gherini Ambrogio (Via)
20121,De Marchi Marco (Via)
20162,De Martino Emilio (Via)
20144,De Meis Angelo Camillo (Piazza)
20127,Democrito (Via)
20162,Demonte (Via)
20128,Demostene (Via)
20142,De Nicola Enrico (Via)
20128,De Notaris Giuseppe (Via)
20146,Dentato Curio (Via)
20133,Denti Francesco (Via)
20157,De Pisis Filippo (Via)
20155,De Predis Giovanni Ambrogio (Via)
20142,De Pretis Agostino (Via) 
20158,Derganino (Via)
20158,Dergano (Piazza)
20132,Derna (Via)
20157,De Roberto Federico (Via)
20156,De Rolandi Battista (Via)
20156,De Rossi Giovanni Battista (Via)
20142,De Ruggiero Guido (Via)
20132,Deruta (Via)
20141,De Sanctis Francesco (Via)
20146,Desenzano (Via)
20153,De Sica Vittorio (Via)
20131,Desiderio (Via)
20149,Desiderio da Settignano (Via)
20159,Desio (Largo)
20153,Dessie' (Via)
20158,De Stael Germana (Via)
20122,D'Este Beatrice (Viale)
20146,De Taddei Malachia Marchesi (Via)
20123,De Togni Aristide (Via)
20148,De Vincenti Angelo (Via)
20133,Devoto Luigi (Via)
20144,Dezza Giuseppe (Via)
20133,Diacono Paolo (Via)
20148,Diano Marina (Via)
20123,Diaz Armando (Piazza)
20152,Di Breganze Giovanni (Via)
20156,Di Breme Ludovico (Via)
20149,Di Credi Lorenzo (Via)
20152,Di Dio Fratelli (Via)
20126,Di Firmian Carlo (Via)
20144,Digione (Via) 
20157,Di Lorenzo Tina (Via)
20142,Dini Ulisse (Via)
20154,Diocleziano (Piazza)
20125,Diodoro Siculo (Via)
20148,Diomede (Via) 
20151,Diomede (Via)
20138,Dione Cassio (Via)
20153,Diotti Benedetto (Via)
20142,Di Rudini' Antonio (Via)
20156,Di Santarosa Santorre (Piazzale)
20129,Di Savoia Maria Adelaide (Piazza)
20123,Disciplini (Via)
20154,Di Tocqueville Alessio (Via)
20153,Di Vittorio Giuseppe (Via)
20126,Doberdo' (Via)
20127,Dogali (Via)
20123,Dogana (Via)
20125,Dolcebuono Giovanni Jacopo (Via)
20148,Dolci Carlo (Via)
20155,Dolfin (Via)
20127,Dolomiti (Via)
20153,Domaso (Via)
20149,Domenichino (Via)
20154,Domenico Cirillo (Via)
20145,Domodossola (Largo)
20145,Domodossola (Via)
20147,Domokos (Via)
20123,Don (Via del)
20151,Donadoni Eugenio (Via privata)
20162,Donatelli Renato (Via)
20131,Donatello (Via)
20146,Donati Mario (Via)
20139,Don Bosco (Via)
20128,Don Carlo Porro (Via)
20133,Donegani Carlo (Piazza)
20121,Donegani Guido (Largo)
20132,Don Giovanni Calabria (Via)
20161,Don Giovanni Grioli (Via)
20158,Don Giovanni Verita' (Via)
20122,Donizetti Gaetano (Via)
20142,Don Rodrigo (Via)
20161,Dora Baltea (Via)
20161,Dora Riparia (Via)
20124,Doria Andrea (Viale)
20135,D'Orsenigo Simone (Via)
20135,Dossi Antonio (Via)
20133,Dottesio (Via) 
20154,Douhet Giulio (Viale)
20131,D'Ovidio Francesco (Via)
20126,Dracone (Via)
20157,Drago Maria (Via)
20133,Druso (Via)
20133,Dubini Angelo (Via)
20124,Duca d'Aosta (Piazza)
20145,Duccio Di Boninsegna (Via)
20142,Dudovich Marcello (Via)
20153,Due Giugno (Via)
20144,Dugnani Antonio (Via)
20145,Duilio (Viale)
20128,Dumas (Via dei)
20123,Duomo (Passaggio)
20123,Duomo (Piazza del)
20121,Duomo (Piazza del) 
20122,Duomo (Piazza del) 
20155,Dupre' Giovanni (Via)
20158,Durando Giovanni (Via)
20131,Durante Francesco (Piazzale)
20134,Durazzo (Via)
20147,Durer Alberto (Via)
20122,Durini (Via)
20122,Duse Eleonora (Piazza)
20129,Eboli (Via)
20141,Ebro (Via)
20123,Edison Tommaso (Piazza)
20125,Edolo (Via)
20144,Egadi (Via)
20126,Egeo (Piazzale)
20149,Eginardo (Viale)
20124,Einaudi Luigi (Piazza)
20137,Einstein Alberto (Via)
20157,El Alamein (Via)
20144,Elba (Via)
20127,Elemosinieri (Via degli)
20148,Elia Enrico (Viale)
20154,Elvezia (Viale)
20149,Emanuele Filiberto (Via)
20126,Emanueli Luigi (Via)
20129,Emilia (Piazza)
20132,Emo Angelo (Via) 
20128,Empedocle (Via)
20162,Empoli (Via)
20153,Engels Federico (Via)
20142,Enna (Via)
20137,Ennio (Via)
20128,Eraclito (Via)
20129,Erba Carlo (Piazza)
20121,Erbe (Via delle)
20155,Ercolano (Via)
20122,Erculea (Piazza)
20157,Eritrea (Via)
20148,Erizzo (Via degli)
20126,Erodoto (Via)
20145,Eschilo (Via)
20161,Esculapio (Via)
20126,Esiodo (Via)
20128,Esopo (Via)
20162,Esperia (Viale)
20156,Espinasse Carlo (Viale)
20148,Esquilino (Piazza)
20132,Esterle Carlo (Via)
20146,Etiopia (Viale)
20144,Etna (Via)
20137,Etruschi (Via degli)
20128,Euclide (Via)
20145,Eupili (Via)
20145,Euripide (Via)
20122,Europa (Corso)
20129,Eustachi Bartolomeo (Via)
20134,Ex Internati Lager Nazisti (Via)
20149,Ezio (Viale)
20137,Faa' Di Bruno Emilio (Via)
20123,Fabbri (Via dei)
20139,Fabio Massimo (Via)
20161,Fabriano (Via)
20157,Fabrizi Nicola (Via)
20138,Facchinetti Cipriano (Via)
20161,Faccio Franco (Via)
20152,Faccioli Cesare (Via)
20142,Faenza (Viale)
20162,Faiti (Via)
20151,Falck Enrico (Via)
20123,Falcone (Via)
20128,Falconi Armando (Via)
20131,Falloppio Gabriele (Via)
20142,Famagosta (Viale)
20131,Fanfulla da Lodi (Via)
20161,Fano (Via)
20122,Fanti Manfredo (Via)
20138,Fantoli Gaudenzio (Via) 
20148,Fantoni Giovanni (Via)
20143,Faraday Michele (Via)
20124,Fara Gustavo (Via)
20149,Faravelli Luigi Giuseppe (Via)
20125,Farina Salvatore (Piazzale)
20121,Farine (Via)
20154,Farini Carlo (Via) 
20159,Farini Carlo (Via)
20146,Farnese (Via)
20129,Farneti Rodolfo (Via)
20137,Farsaglia (Via)
20149,Faruffini Federico (Via)
20121,Fatebenefratelli (Via)
20121,Fatebenesorelle (Via)
20147,Fatima (Largo)
20157,Fattori Giovanni (Via)
20154,Fauche' Giovanni Battista (Via)
20125,Fava Angelo (Via)
20146,Favretto Giacomo (Via)
20141,Fedro (Via)
20132,Feltre (Via) 
20134,Feltre (Via)
20138,Feltrinelli Carlo (Via)
20142,Feraboli Achille (Via)
20124,Ferdinando di Savoia (Viale)
20159,Fermi Enrico (Viale)
20161,Fermi Enrico (Viale)
20161,Fermignano (Via)
20139,Ferrara (Piazzale)
20122,Ferrari Cardinale Andrea (Piazza)
20123,Ferrari Gaudenzio (Via)
20154,Ferrari Giuseppe (Via)
20144,Ferrario Ercole (Via)
20156,Ferrario Grugnola Rosina (Via)
20121,Ferrari Paolo (Piazza)
20154,Ferraris Galileo (Via)
20141,Ferrari Virgilio (Via)
20129,Ferravilla Edoardo (Piazza)
20142,Ferrera (Via della) 
20153,Ferreri Giulio (Via)
20143,Ferrero Guglielmo (Via)
20153,Ferrieri Enzo (Via)
20135,Ferrini Contardo (Via)
20145,Ferruccio Francesco (Via)
20122,Festa Del Perdono (Via)
20151,Fetonte (Via)
20146,Fezzan (Via)
20129,Fiamma Galvano (Via)
20156,Fiamminghino Mauro (Via)
20151,Fichera Gaetano (Via)
20138,Fidenza (Via)
20159,Fidia (Piazza)
20123,Fieno (Via)
20126,Fieramosca Ettore (Via)
20156,Figino Ambrogio (Via)
20123,Filangieri Gaetano (Piazza)
20145,Filarete (Via)
20143,Filargo Pietro (Via)
20145,Filelfo Francesco (Via)
20149,Filiberto Emanuele (Via)
20122,Filippetti Angelo (Viale)
20125,Filippi Filippo (Via)
20135,Filippino degli Organi (Via)
20143,Filippo da Liscate (Via)
20121,Filodrammatici (Via)
20124,Filzi Fabio (Via)
20148,Finale Ligure (Via)
20124,Finocchiaro Aprile Camillo (Via)
20161,Finzi Giuseppe (Via)
20126,Finzi Prospero (Via)
20154,Fioravanti Aristotile (Via)
20146,Fiordalisi (Via dei)
20121,Fiori (Vicolo)
20121,Fiori Chiari (Via)
20121,Fiori Oscuri (Via)
20154,Firenze (Piazza)
20149,Firenze (Piazza) 
20159,Fiuggi (Via)
20161,Fiume (Via)
20161,Flavia (Via)
20149,Flavio Vegezio (Via)
20147,Fleming Alessandro (Via)
20132,Flumendosa (Via)
20135,Fogazzaro Antonio (Via)
20141,Foggia (Via)
20135,Foldi Carlo (Via)
20134,Folli Egidio (Via)
20127,Fonseca Pimentel Eleonora (Via)
20122,Fontana (Piazza)
20122,Fontana (Via)
20161,Fontanelli Achille (Via)
20146,Fontanesi Antonio (Via)
20141,Fontanili (Via dei)
20148,Fonzaso (Via privata)
20144,Foppa Vincenzo (Via)
20144,Foppette (Via delle)
20144,Forcella Vincenzo (Via)
20133,Forlanini Carlo (Via) 
20138,Forlanini Enrico (Viale)
20134,Forlanini Enrico (Viale) 
20121,Formentini Marco (Via)
20147,Fornara Carlo (Via privata)
20146,Fornari Pasquale (Via)
20161,Forni Gerolamo (Via)
20126,Fortezza (Via)
20126,Fortiguerra Nicolo' (Via)
20125,Fortis Leone (Via)
20161,Fortunato Giustino (Piazza)
20147,Forze Armate (Via delle) 
20152,Forze Armate (Via delle) 
20148,Foscari (Via dei)
20121,Foscolo Ugo (Via)
20131,Fossati Fratelli (Via)
20123,Fosse Ardeatine (Via)
20146,Fra' Bartolomeo (Via)
20128,Fracastoro Girolamo (Via)
20134,Fraccaroli Arnaldo (Via)
20125,Fracchia Umberto (Via privata)
20142,Fra' Cristoforo (Via)
20146,Fra' Galgario (Via)
20144,Fra' Luca Pacioli (Via)
20145,Francesco Ferrucci (Via)
20124,Franchetti Raimondo (Via)
20148,Frangipani (Via dei)
20129,Franklin Beniamino (Via)
20133,Frapolli Luigi (Via)
20149,Frascati (Via)
20148,Frassinetti Romeo (Via) 
20156,Frassini (Via dei)
20128,Fratti Antonio (Via)
20146,Frattini Pietro (Piazza)
20122,Freguglia Carlo (Via)
20138,Freikofel (Via)
20131,Frescobaldi Gerolamo (Via)
20154,Freud Sigmund (Piazza)
20126,Frigia (Via)
20125,Frignani Angelo (Via)
20129,Frisi Paolo (Via)
20135,Friuli (Via)
20153,Frosinone (Via)
20146,Frua Giuseppe (Via)
20162,Frugoni Carlo Innocenzo (Via)
20133,Fucini Renato (Via)
20162,Fulcieri Paolucci De Calboli (Via)
20161,Fulton Roberto (Via)
20143,Fumagalli Angelo Carlo (Via)
20146,Fusaro (Via del)
20143,Fusetti Mario (Via)
20133,Fusina Andrea (Piazza)
20156,Fusinato Arnaldo (Via)
20121,Gabba Fratelli (Via)
20161,Gabbro (Via)
20147,Gabetti Giuseppe (Via)
20151,Gadames (Via)
20154,Gadda Carlo Emilio (Via)
20121,Gadio Gerolamo (Viale)
20161,Gaeta (Via)
20124,Gaffurio Franchino (Via)
20139,Gaggia Pietro (Via)
20129,Gaio (Via)
20161,Galeazzi Riccardo (Via)
20126,Galeno (Via)
20146,Galgario Fra' (Via)
20161,Galiani Ferdinando (Via)
20124,Galilei Galileo (Via)
20124,Galimberti Duccio Tancredi (Via)
20131,Galla Placidia (Via)
20151,Gallarate (Via)
20123,Gallarati Scotti (Via)
20152,Galliano Giuseppe (Via)
20156,Galliari Bernardino (Via)
20159,Galli Dina (Via)
20159,Galli Mario (Via) 
20129,Gallina Giacinto (Via)
20148,Galli Riccardo (Via privata)
20121,Gallo (Via del)
20141,Gallura (Via)
20124,Galvani Luigi (Via)
20146,Gambara Veronica (Piazzale)
20139,Gamboloita (Via)
20141,Gandino Cristoforo (Via)
20154,Garancetta (Via della)
20138,Garavaglia Carlo (Via)
20134,Garcia Lorca Federico (Viale)
20147,Gardenie (Via delle)
20139,Gardone (Via)
20156,Garegnano (Via)
20139,Gargano (Via)
20146,Garian (Via)
20153,Garibaldi Anita (Piazza)
20121,Garibaldi Giuseppe (Corso)
20159,Garigliano (Via)
20133,Garofalo (Via)
20147,Garofani (Via dei)
20124,Gasparo da Salo' (Via)
20124,Gasparotto Leopoldo (Via)
20161,Gasparri Cardinale Pietro (Piazza)
20155,Gassendi Pietro (Via)
20149,Gattamelata (Via)
20162,Gatti Francesco (Via)
20142,Gattinara (Via)
20148,Gavirate (Largo)
20148,Gavirate (Via)
20157,Gazzoletti Antonio (Via)
20146,Gelsomini (Largo dei)
20123,Gemelli Fra Agostino (Largo)
20131,Gemito Vincenzo (Largo)
20123,Genova (Corso)
20161,Genovesi Antonio (Via)
20157,Gentile da Fabriano (Via)
20146,Gentili Alberico (Via)
20136,Gentilino (Via)
20147,Genziane (Via delle)
20161,George Sand (Via)
20147,Gerani (Via dei)
20154,Gerusalemme (Piazza)
20146,Gessi Romolo (Via) 
20121,Gesu' (Via)
20145,Gherardini Giovanni (Via)
20128,Gherini De Marchi Ambrogio (Via)
20149,Ghiberti Lorenzo (Via)
20141,Ghini Luca (Via)
20152,Ghiringhelli Bernardino (Via)
20148,Ghirlandaio Domenico (Piazza)
20151,Ghisallo (Cavalcavia del)
20151,Ghisallo (Viale del)
20125,Ghislanzoni Antonio (Via)
20144,Ghisleri Arcangelo (Via)
20147,Giacinti (Via dei)
20126,Giacometti Paolo (Via)
20127,Giacosa Giuseppe (Via)
20147,Giaggioli (Via dei)
20146,Giambellino (Largo)
20146,Giambellino (Via) 
20147,Giambellino (Via)
20136,Giambologna (Via)
20156,Giampietrino (Via)
20152,Gianella Giuseppe (Via)
20159,Gianferrari Vincenzo (Via)
20136,Gian Galeazzo (Viale)
20148,Gianicolo (Via)
20151,Giannini Giuseppe (Via)
20154,Giannone Pietro (Via)
20121,Giardini (Via dei)
20121,Giardini Pubblici ()
20121,Giardino (Vicolo)
20123,Giardino Gaetano (Via)
20146,Giasone Del Maino (Via)
20148,Gigante Giacinto (Via)
20147,Gigli (Via dei)
20157,Gigli Beniamino (Via)
20148,Gignese (Via)
20149,Gignous Eugenio (Via)
20126,Gilardi Edoardo (Via)
20128,Gilino Gian Giacomo (Via)
20123,Gioberti Vincenzo (Via)
20149,Gioia Flavio (Via)
20124,Gioia Melchiorre (Via) 
20125,Gioia Melchiorre (Via)
20133,Giolitti Giovanni (Piazza)
20162,Giolli Raffaello (Via)
20147,Giordani Pietro (Via)
20154,Giordano Bruno (Via) 
20122,Giordano Umberto (Piazzetta)
20151,Giorgi Ferdinando (Via)
20151,Giorgini Giovanni Battista (Via)
